Category,Form No.,MOR Ref.,Report Title,Frequency,Submission Deadline,Submission Procedure / E-mail Address
PRIMARY REPORTS,C. RBs / Coop Banks,A-1,Financial Reporting Package (FRP),,,
,,"Section 172 (Cir. No. 903 dated 02.29.16, M-008 dated 06.23.16, Cir. No. 963 dated 06.27.17, M-028 dated 09.11.17, and Cir. No. 976 dated 10.10.17)",Balance Sheet (FRP) - Solo basis (head office and branches),Quarterly,15th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,Balance Sheet (FRP) - Consolidated basis (together with applicable schedules),Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,Income Statement (FRP) - Solo basis (head office and branches),Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,Income Statement (FRP) - Consolidated basis (together with applicable schedules),Quarterly,30th banking day after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,Schedules (Solo Report):,,,
,,,1. Checks and Other Cash Items (COCI),Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,2. Due from Other Banks,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,3. Financial Assets Held for Trading,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"3a - Breakdown of Held for Trading (HFT) Financial Assets Purchased/Sold/Lent Under Repurchase Agreements, Certificates of Assignment/Participation with Recourse, Securities Lending and Borrowing Agreements",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,4 - Derivatives Held for Trading (HFT),Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,4a - Derivatives Held for Trading Matrix of Counterparty and Type of Derivative Contracts,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,5 - Financial Assets Designated at Fair Value through Profit or Loss,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,6 - Available-for-Sale Financial Assets,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"6a - Breakdown of Available-for-Sale Financial Assets Purchased/Sold/Lent Under Repurchase Agreements, Certificates of Assignment/Participation with Recourse, Securities Lending and Borrowing Agreements",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,6b to 6b3 - Available-for-Sale Financial Assets Classified as to Status,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,6c to 6c3 - Available-for-Sale Financial Assets Movements in Allowances for Credit Losses,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,7 - Held to Maturity (HTM) Financial Asset,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,"7a - Breakdown of Held to Maturity Financial Assets Purchased/Sold/Lent Under Repurchase Agreements, Certificates of Assignment/Participation with Recourse, Securities Lending and Borrowing Agreements",Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,7b - Fair Value of Held to Maturity (HTM) Financial Asset,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,7c to 7c3 - Held to Maturity Financial Assets Classified as to Status,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,7d to 7d3 - Held to Maturity Financial Assets Movements in Allowances for Credit Losses,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
,,,8 - Unquoted Debt Securities Classified as Loans,Quarterly,15 banking days after end of reference quarter,sdcrb-frp@bsp.gov.ph
,,,8a - Fair Value of Unquoted Debt Securities Classified as Loans,Annually,15 banking days after end of reference year,sdcrb-frp@bsp.gov.ph
